2026/09/19 13:55:00.477, 72, 32, 61.29, 1470, 1728, 44
2026/09/19 13:55:00.686, 72, 32, 100.30, 1470, 1728, 46
2026/09/19 13:55:00.887, 4, 1, 174.71, 1350, 1728, 47
2026/09/19 13:55:01.087, 80, 34, 182.86, 1350, 1728, 47
2026/09/19 13:55:01.287, 99, 47, 189.51, 1335, 1728, 48
2026/09/19 13:55:01.487, 98, 47, 183.48, 1350, 1728, 48
2026/09/19 13:55:01.687, 99, 47, 174.74, 1320, 1728, 48
2026/09/19 13:55:01.887, 97, 46, 182.93, 1335, 1728, 48
2026/09/19 13:55:02.088, 98, 47, 174.39, 1380, 1728, 48
2026/09/19 13:55:02.288, 97, 46, 184.21, 1350, 1728, 48
2026/09/19 13:55:02.488, 96, 46, 178.52, 1365, 1728, 48
2026/09/19 13:55:02.688, 97, 46, 169.69, 1365, 1728, 48
2026/09/19 13:55:02.888, 93, 45, 174.34, 1380, 1728, 48
2026/09/19 13:55:03.088, 94, 45, 155.69, 1380, 1728, 48
2026/09/19 13:55:03.289, 87, 43, 172.41, 1395, 1728, 48
2026/09/19 13:55:03.489, 88, 43, 204.87, 1365, 1728, 49
2026/09/19 13:55:03.689, 88, 43, 156.21, 1395, 1728, 49
2026/09/19 13:55:03.889, 85, 41, 176.58, 1380, 1728, 49
2026/09/19 13:55:04.089, 88, 43, 165.23, 1380, 1728, 49
2026/09/19 13:55:04.290, 88, 43, 173.54, 1395, 1728, 49
2026/09/19 13:55:04.490, 85, 42, 179.56, 1350, 1728, 49
2026/09/19 13:55:04.690, 89, 43, 197.64, 1395, 1728, 49
2026/09/19 13:55:04.890, 90, 44, 172.51, 1380, 1728, 49
2026/09/19 13:55:05.090, 89, 43, 173.70, 1440, 1728, 49
