2026/09/19 13:33:36.021, 88, 45, 69.86, 1425, 1728, 42
2026/09/19 13:33:36.233, 88, 45, 57.30, 1470, 1728, 40
2026/09/19 13:33:36.434, 3, 1, 58.27, 1470, 1728, 38
2026/09/19 13:33:36.634, 25, 7, 179.41, 1290, 1728, 42
2026/09/19 13:33:36.834, 89, 25, 90.63, 1455, 1728, 40
2026/09/19 13:33:37.034, 36, 12, 147.64, 1470, 1728, 42
2026/09/19 13:33:37.235, 45, 15, 181.62, 1290, 1728, 43
2026/09/19 13:33:37.435, 78, 21, 187.89, 1335, 1728, 43
2026/09/19 13:33:37.635, 70, 21, 187.60, 1455, 1728, 43
2026/09/19 13:33:37.835, 54, 16, 59.44, 1470, 1728, 41
2026/09/19 13:33:38.035, 55, 16, 183.21, 1320, 1728, 43
2026/09/19 13:33:38.236, 86, 24, 168.14, 1455, 1728, 43
2026/09/19 13:33:38.436, 42, 12, 138.77, 1470, 1728, 42
2026/09/19 13:33:38.636, 52, 16, 235.64, 1335, 1728, 44
2026/09/19 13:33:38.836, 85, 23, 165.78, 1410, 1728, 43
2026/09/19 13:33:39.036, 85, 23, 168.71, 1410, 1728, 44
2026/09/19 13:33:39.237, 64, 20, 207.67, 1305, 1728, 45
2026/09/19 13:33:39.437, 66, 20, 182.36, 1380, 1728, 45
2026/09/19 13:33:39.637, 100, 26, 168.16, 1455, 1728, 44
2026/09/19 13:33:39.837, 81, 24, 118.15, 1470, 1728, 42
2026/09/19 13:33:40.037, 37, 12, 59.53, 1470, 1728, 40
2026/09/19 13:33:40.238, 7, 3, 58.95, 1305, 1728, 41
2026/09/19 13:33:40.438, 0, 0, 136.17, 1380, 1728, 43
2026/09/19 13:33:40.638, 69, 20, 184.40, 1455, 1728, 43
2026/09/19 13:33:40.838, 64, 21, 120.96, 1470, 1728, 43
2026/09/19 13:33:41.039, 46, 14, 175.88, 1380, 1728, 44
2026/09/19 13:33:41.239, 59, 18, 94.51, 1455, 1728, 44
2026/09/19 13:33:41.439, 86, 25, 161.06, 1455, 1728, 45
2026/09/19 13:33:41.640, 47, 14, 253.30, 1275, 1728, 45
2026/09/19 13:33:41.840, 47, 15, 187.31, 1425, 1728, 44
2026/09/19 13:33:42.040, 100, 26, 147.23, 1470, 1728, 44
2026/09/19 13:33:42.241, 48, 15, 103.66, 1320, 1728, 44
2026/09/19 13:33:42.441, 44, 14, 181.68, 1320, 1728, 45
2026/09/19 13:33:42.641, 87, 23, 185.60, 1395, 1728, 45
2026/09/19 13:33:42.842, 69, 20, 223.46, 1275, 1728, 46
2026/09/19 13:33:43.042, 76, 22, 182.21, 1305, 1728, 45
2026/09/19 13:33:43.242, 100, 26, 172.75, 1425, 1728, 45
