2026/09/19 13:02:33.331, 48, 24, 64.32, 1470, 1728, 40
2026/09/19 13:02:33.540, 48, 24, 61.29, 1470, 1728, 39
2026/09/19 13:02:33.740, 3, 1, 58.37, 1470, 1728, 38
2026/09/19 13:02:33.940, 0, 0, 176.11, 1290, 1728, 42
2026/09/19 13:02:34.141, 87, 25, 55.06, 1455, 1728, 41
2026/09/19 13:02:34.341, 36, 12, 190.34, 1365, 1728, 42
2026/09/19 13:02:34.541, 55, 16, 57.68, 1455, 1728, 40
2026/09/19 13:02:34.741, 21, 7, 59.24, 1470, 1728, 39
2026/09/19 13:02:34.941, 0, 0, 177.55, 1290, 1728, 42
2026/09/19 13:02:35.142, 86, 23, 60.03, 1440, 1728, 41
2026/09/19 13:02:35.342, 47, 14, 234.58, 1350, 1728, 42
2026/09/19 13:02:35.542, 51, 15, 56.91, 1455, 1728, 41
2026/09/19 13:02:35.742, 27, 9, 59.34, 1470, 1728, 39
2026/09/19 13:02:35.942, 0, 0, 168.02, 1290, 1728, 43
2026/09/19 13:02:36.143, 98, 26, 55.46, 1455, 1728, 41
2026/09/19 13:02:36.343, 36, 11, 188.49, 1350, 1728, 43
2026/09/19 13:02:36.543, 60, 17, 59.07, 1455, 1728, 41
2026/09/19 13:02:36.743, 20, 7, 58.75, 1470, 1728, 40
2026/09/19 13:02:36.943, 0, 0, 169.46, 1290, 1728, 43
2026/09/19 13:02:37.144, 88, 23, 59.54, 1425, 1728, 43
2026/09/19 13:02:37.344, 47, 14, 219.33, 1395, 1728, 42
2026/09/19 13:02:37.544, 44, 13, 94.21, 1455, 1728, 42
2026/09/19 13:02:37.744, 34, 11, 59.63, 1470, 1728, 40
2026/09/19 13:02:37.944, 0, 0, 244.89, 1320, 1728, 42
2026/09/19 13:02:38.145, 56, 15, 184.60, 1305, 1728, 44
2026/09/19 13:02:38.345, 79, 22, 58.76, 1470, 1728, 41
2026/09/19 13:02:38.545, 16, 5, 175.82, 1395, 1728, 44
2026/09/19 13:02:38.745, 61, 18, 124.35, 1470, 1728, 42
2026/09/19 13:02:38.945, 29, 8, 59.44, 1470, 1728, 41
2026/09/19 13:02:39.145, 6, 3, 88.26, 1470, 1728, 40
2026/09/19 13:02:39.346, 3, 1, 58.37, 1470, 1728, 39
2026/09/19 13:02:39.546, 0, 0, 58.37, 1470, 1728, 39
2026/09/19 13:02:39.746, 37, 11, 173.10, 1290, 1728, 43
2026/09/19 13:02:39.946, 86, 26, 52.90, 1455, 1728, 41
2026/09/19 13:02:40.146, 6, 1, 208.72, 1395, 1728, 43
2026/09/19 13:02:40.347, 66, 21, 85.60, 1470, 1728, 41
2026/09/19 13:02:40.547, 1, 0, 59.82, 1470, 1728, 40
2026/09/19 13:02:40.747, 20, 5, 190.62, 1320, 1728, 43
2026/09/19 13:02:40.947, 100, 27, 182.48, 1455, 1728, 42
2026/09/19 13:02:41.148, 13, 5, 59.82, 1320, 1728, 44
2026/09/19 13:02:41.348, 79, 23, 73.87, 1455, 1728, 42
2026/09/19 13:02:41.548, 2, 0, 59.24, 1470, 1728, 40
2026/09/19 13:02:41.748, 11, 2, 221.40, 1305, 1728, 43
2026/09/19 13:02:41.948, 100, 27, 179.94, 1425, 1728, 43
2026/09/19 13:02:42.149, 23, 7, 58.76, 1365, 1728, 43
2026/09/19 13:02:42.349, 69, 19, 125.97, 1455, 1728, 42
2026/09/19 13:02:42.549, 11, 4, 59.83, 1470, 1728, 41
2026/09/19 13:02:42.749, 0, 0, 58.95, 1320, 1728, 42
2026/09/19 13:02:42.949, 75, 20, 175.41, 1305, 1728, 45
2026/09/19 13:02:43.150, 75, 20, 57.79, 1470, 1728, 41
2026/09/19 13:02:43.350, 61, 17, 181.02, 1350, 1728, 44
2026/09/19 13:02:43.550, 26, 8, 57.98, 1470, 1728, 41
2026/09/19 13:02:43.750, 54, 16, 59.05, 1470, 1728, 40
2026/09/19 13:02:43.950, 0, 0, 173.03, 1320, 1728, 44
2026/09/19 13:02:44.151, 52, 14, 55.65, 1455, 1728, 42
2026/09/19 13:02:44.351, 83, 23, 216.08, 1320, 1728, 44
2026/09/19 13:02:44.551, 7, 2, 58.94, 1455, 1728, 43
