configuration,phase,wall_s,ple_gpu_wait_s,mtp_s
baseline,pp,11.335775075946003,5.816964096069336,0.301560830116272
baseline,tg1,18.13780660193879,0.442658816176001,6.197648379325867
baseline,tg8,5.968488311977126,0.9836922842832282,0.7062527995109558
optimized,pp,7.325981850968674,1.3268049805061892,0.24575283241271972
optimized,tg1,8.652347148046829,0.3559167989436537,1.5461611537933349
optimized,tg8,5.104608057998121,0.48727244705194606,0.5190492157936096
selected,pp,6.223031984060071,2.2529904708862305,0.14984089851379395
selected,tg1,9.462890207068995,0.41867878461070357,0.7285094379186631
selected,tg8,4.638936736038886,0.353002494555898,0.2308075520992279
