phase,size,before_tokens_s,after_tokens_s,speedup
tg_aggregate,1,75.66627588601386,103.3049331093689,1.365270484105638
tg_aggregate,4,204.8560558613833,277.2157038267335,1.3532219131189005
tg_aggregate,8,347.7749481449637,428.9670837950187,1.23346171448845
tg_aggregate,16,387.0522978954374,667.129717235118,1.7236164747311329
pp,512,1059.7722641017237,1616.3137120162007,1.5251519281703494
pp,2048,1339.2324684011676,1915.3031187814768,1.430149853720353
pp,8192,1421.9423512452959,2635.591374790087,1.853514928001063
